title,forma,manufacturer,image-src
"Эсвитлив капсулы 30 шт.","упак.","Джелтек, Индия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Арбидол порошок для суспенз. для приема внутрь 25мг/5мл флакон 37 г","упак.","Фармстандарт, Россия","http://www.eapteka.ru/upload/offer_photo/248/544/resized/230_230_1.jpg"
"Зоэли","таблетки 2,5 мг + 1,5 мг, 28 шт.","Шеринг-Плау, США","http://www.eapteka.ru/upload/offer_photo/215/849/resized/230_230_1.jpg"
"Энкорат хроно","таблетки 300 мг, 30 шт.","Сан Фармасьютикал, Индия","http://www.eapteka.ru/upload/offer_photo/208/044/resized/230_230_1.jpg"
"Антистакс","капсулы 180 мг, 20 шт.","Берингер Ингельхайм, Австрия","http://www.eapteka.ru/upload/offer_photo/207/561/1.gif"
"Аторвастатин","таблетки 10 мг, 30 шт.","Биоком, Россия","http://www.eapteka.ru/upload/offer_photo/224/210/resized/230_230_1.jpg"
"Клей БФ-6","тубы, 10 г","Муромский приборостроительный Завод, Россия","http://www.eapteka.ru/upload/offer_photo/216/375/resized/230_230_1.jpg"
"Аскорил экспекторант","сироп, 100 мл","Гленмарк, Индия","http://www.eapteka.ru/upload/offer_photo/203/733/1.gif"
"Нольпаза","таблетки 40 мг, 14 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/211/617/resized/230_230_1.jpg"
"Энплейт","флакон 250 мг, 5 мл","Патеон Инк, Канада","http://www.eapteka.ru/upload/offer_photo/212/603/resized/230_230_1.jpg"
"Эдас-131","капли гомеопатические , 15 мл","Эдас, Россия","http://www.eapteka.ru/upload/offer_photo/220/937/resized/230_230_1.jpg"
"Бифидумбактерин форте","пакетики, 5 доз , 10 шт.","Партнер, Россия","http://www.eapteka.ru/upload/offer_photo/764/43/resized/230_230_1.jpg"
"Орунгал","капсулы 100 мг, 14 шт.","Янссен-Силаг, Бельгия","http://www.eapteka.ru/upload/offer_photo/108/573/resized/230_230_1.jpg"
"Флутамид","таблетки 250 мг, 20 шт.","Нью-Фарм, Канада","http://www.eapteka.ru/upload/offer_photo/212/478/1.jpg"
"Золотой ус","бальзам для суставов с муравьиным спиртом, 75 мл","КоролевФарм, Россия","http://www.eapteka.ru/upload/offer_photo/217/871/resized/230_230_1.jpg"
"Солгар Глюкозамин Хондроитин Комплекс","таблетки, 60 шт.","Солгар, США","http://www.eapteka.ru/upload/offer_photo/216/850/resized/230_230_1.jpg"
"Хартил-Д","таблетки 5 мг+25 мг 28 шт.","Эгис, Венгрия","http://www.eapteka.ru/upload/offer_photo/215/577/resized/230_230_1.jpg"
"Цинокап","крем 0,2%, 50 г","Фармстандарт-Томск, Россия","http://www.eapteka.ru/upload/offer_photo/212/320/resized/230_230_1.jpg"
"Бетагистин","таблетки 8 мг, 30 шт.","Канонфарма, Россия","http://www.eapteka.ru/upload/offer_photo/210/511/resized/230_230_1.jpg"
"Кларитромицин","капсулы 250 мг, 14 шт.","Вертекс, Россия","http://www.eapteka.ru/upload/offer_photo/210/014/1.jpg"
"Пентафлуцин","пакетики 5 г , 5 шт.","Уралбиофарм, Россия","http://www.eapteka.ru/upload/offer_photo/206/813/resized/230_230_1.jpg"
"Медвежий жир обогащенный","капсулы 300 мг уп. 100","Фитосила, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Остеохард","таблетки 1800 мг 30 шт.","Новатор Фарма, Великобритания","http://www.eapteka.ru/upload/offer_photo/235/969/resized/230_230_1.jpg"
"Красная щетка","пачка, 30 г","Травы Алтая, Россия","http://www.eapteka.ru/upload/offer_photo/240/609/resized/230_230_1.jpg"
"Доктор вен","крем для ног, 75 мл.","Фора Фарм, Россия","http://www.eapteka.ru/upload/offer_photo/210/148/resized/230_230_1.jpg"
"Эдарби","таблетки 80 мг, 28 шт.","Такеда ГмбХ, Япония","http://www.eapteka.ru/upload/offer_photo/228/030/resized/230_230_1.jpg"
"Растворитель для коревой, паротитной, паротитно-коревой вакцин культуральных живых","ампулы 0,5 мл 10 шт.","Микроген НПО, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Цитовир-3","порошок для приготовления раствора, апельсин, 20 г","Цитомед, Россия","http://www.eapteka.ru/upload/offer_photo/231/245/resized/230_230_1.jpg"
"Доксазозин-Белупо","таблетки 2 мг, 20 шт.","Белупо, Хорватия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Новые тайны Золотого уса","крем-снадобье для тела с сабельником и медвежьим ж","Народные промыслы, Россия","http://www.eapteka.ru/upload/offer_photo/224/160/1.jpg"
"Бикалутамид Канон таблетки покрыт.плен.об. 150 мг 30 шт.","упак.","Канонфарма, Россия","http://www.eapteka.ru/upload/offer_photo/221/652/1.jpg"
"Белогент","мазь, 40 г","Белупо, Хорватия","http://www.eapteka.ru/upload/offer_photo/217/908/1.jpg"
"АйЭнЭс (INS) Вейноцелл (Veinocell) капсулы 60 шт.","упак.","Лаборатории Инелдиа, Франция","http://www.eapteka.ru/upload/offer_photo/256/050/resized/230_230_1.jpg"
"Лориста Н","таблетки 100 мг+12.5 мг 30 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/237/014/resized/230_230_1.jpg"
"Бисопролол","таблетки 5 мг 30 шт.","Вертекс, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Афлодерм","мазь 0.05%, 20 г","Белупо, Хорватия","http://www.eapteka.ru/upload/offer_photo/204/450/resized/230_230_1.jpg"
"Треосульфан Медак","флаконы 1 г, 5 шт.","Медак, Германия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Кавинтон","ампулы 50 мг, 10 мл, 5 шт.","Гедеон Рихтер, Венгрия","http://www.eapteka.ru/upload/offer_photo/210/953/resized/230_230_1.jpg"
"Берлиприл 5","таблетки 5 мг, 30 шт.","Берлин-Хеми/Менарини, Германия","http://www.eapteka.ru/upload/offer_photo/223/65/resized/230_230_1.jpg"
"Церебролизин","р-р для инъекций 10 мл ампулы 5 шт.","ЭВЕР Нейро Фарма, Австрия","http://www.eapteka.ru/upload/offer_photo/177/33/resized/230_230_1.jpg"
"Цефазолин","пор. д/приг р-ра для в/вен.и в/мыш.введ. фл.1 г","Сандоз, Швейцария","http://www.eapteka.ru/upload/offer_photo/176/19/resized/230_230_1.jpg"
"Сонизин","капсулы ретард 0.4 мг, 30 шт.","Гедеон Рихтер, Венгрия","http://www.eapteka.ru/upload/offer_photo/210/525/resized/230_230_1.jpg"
"Эналаприл","таблетки 10 мг, 20 шт.","Озон, Россия","http://www.eapteka.ru/upload/offer_photo/222/845/resized/230_230_1.jpg"
"Риссет","таблетки 4 мг, 20 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/208/345/resized/230_230_1.jpg"
"Динамико","таблетки покрыт.плен.об. 50 мг, 4 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/213/411/1.jpg"
"КардиАСК таблетки покрыт.киш-раств.плен.об. 50 мг 30 шт","упак.","Канонфарма, Россия","http://www.eapteka.ru/upload/offer_photo/208/829/1.jpg"
"Зокор","таблетки 40 мг, 14 шт.","Мерк Шарп и Доум, США","http://www.eapteka.ru/upload/offer_photo/118/570/resized/230_230_1.jpg"
"Неттацин","0,3% фл.-кап. 5мл","СИФИ, Италия","http://www.eapteka.ru/upload/offer_photo/235/142/resized/230_230_1.jpg"
"Гликлазид МВ","таблетки 30 мг 60 шт.","Озон, Россия","http://www.eapteka.ru/upload/offer_photo/236/752/resized/230_230_1.jpg"
"Дифлюкан","флаконы 2 мг/мл , 200 мл","Пфайзер, США","http://www.eapteka.ru/upload/offer_photo/103/086/resized/230_230_1.jpg"
"Кальций Плюс","таблетки шипучие, 20 шт.","Хемофарм, Сербия","http://www.eapteka.ru/upload/offer_photo/227/257/resized/230_230_1.jpg"
"Авиамарин таблетки 50 мг 5 шт.","упак.","Оболенское ФП, Россия","http://www.eapteka.ru/upload/offer_photo/253/170/1.jpg"
"Лозартан таблетки 25 мг 30 шт.","упак.","Вертекс, Россия","http://www.eapteka.ru/upload/offer_photo/250/566/1.jpg"
"Благомин Витамин Е","капсулы, 90 шт.","ВИС, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Инсуман Рапид ГТ","флаконы 100 ЕД/мл , 5 мл, 5 шт.","Санофи-Авентис, Франция","http://www.eapteka.ru/upload/offer_photo/239/75/1.gif"
"Пироксикам","капсулы 10 мг, 20 шт.","Производство медикаментов, Россия","http://www.eapteka.ru/upload/offer_photo/233/789/1.jpg"
"Розистарк","таблетки 10 мг 14 шт.","Белупо, Хорватия","http://www.eapteka.ru/upload/offer_photo/236/947/resized/230_230_1.jpg"
"Иммунотропин Премиум капсулы 500 мг 180 шт.","упак.","Инат Фарма, Россия","http://www.eapteka.ru/upload/offer_photo/262/293/resized/230_230_1.jpg"
"Простудокс Черная смородина","пакетики 5 г, 5 шт.","Синтез АКОМП, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Клопиксол депо","раствор в масле 200 мг/мл , 1 мл","Лундбек АС, Дания","http://www.eapteka.ru/upload/offer_photo/203/971/resized/230_230_1.jpg"
"Малавит","для суставов, 100 мл","Малавит, Россия","http://www.eapteka.ru/upload/offer_photo/218/273/resized/230_230_1.jpg"
"Бравадин таблетки покрыт.плен.об. 7,5 мг 28 шт.","упак.","КРКА, Словения","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Бадана корневище","фильтрпакетики 1,5 г, 20 шт.","Красногорсклексредства, Россия","http://www.eapteka.ru/upload/offer_photo/223/742/resized/230_230_1.jpg"
"Пропофол","флаконы 20 мг/мл , 50 мл","Фрезениус Каби, Германия","http://www.eapteka.ru/upload/offer_photo/215/308/resized/230_230_1.jpg"
"Брустан","таблетки, 10 шт.","Ранбакси, Индия","http://www.eapteka.ru/upload/offer_photo/291/39/resized/230_230_1.jpg"
"Солгар Коэнзим Q10","30 мг капсулы 30 шт.","Солгар, США","http://www.eapteka.ru/upload/offer_photo/216/819/resized/230_230_1.gif"
"Макулин плюс","капсулы, 30 шт","Фидифарм, Хорватия","http://www.eapteka.ru/upload/offer_photo/234/886/resized/230_230_1.jpg"
"Гепар Актив","капсулы, 180 шт.","Гольфстрим, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Зитролид","капсулы 250 мг, 100 шт.","Валента Фарма, Россия","http://www.eapteka.ru/upload/offer_photo/222/519/resized/230_230_1.jpg"
"Флюанксол","ампулы 20 мг/мл, 1 мл, 10 шт.","Лундбек АС, Дания","http://www.eapteka.ru/upload/offer_photo/203/998/1.jpg"
"Нэйчес Баунти Натуральная эхинацея","капсулы 400 мг, 100 шт.","Нэйчес Баунти, США","http://www.eapteka.ru/upload/offer_photo/217/993/resized/230_230_1.jpg"
"ДжиЭнСи (GNC) Ультра Мега Актив для женщин без железа и йода (Women`s Ultra Mega Active without Iron and Iodine) таблетки 60 шт.","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/251/998/resized/230_230_1.jpg"
"Беталок","ампулы 1 мг/мл , 5 мл , 5 шт.","АстраЗенека, Великобритания","http://www.eapteka.ru/upload/offer_photo/105/057/resized/230_230_1.jpg"
"Рыбий жир Биафишенол с маслом льна и тыквы капсулы 100 шт.","упак.","Биофарм, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Сангвиритрин","таблетки покрыт.киш-раств.об. 5 мг 30 шт.","Фармцентр ВИЛАР ЗАО, Россия","http://www.eapteka.ru/upload/offer_photo/473/48/resized/230_230_1.jpg"
"Авиамарин","таблетки 50 мг 10 шт.","Оболенское ФП, Россия","http://www.eapteka.ru/upload/offer_photo/237/171/1.jpg"
"Диклофенак р-р для в/мыш. введ.25 мг/мл 3 мл ампулы","5 шт.","Хемофарм, Сербия","http://www.eapteka.ru/upload/offer_photo/105/260/1.jpg"
"Хондроитин","гель 5%, 30 г","Вертекс, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Аскорбинка с сахаром","крутка яблоко, 10 шт.","Экофарм, Россия","http://www.eapteka.ru/upload/offer_photo/226/158/resized/230_230_1.jpg"
"Метиндол","таблетки ретард 75 мг, 50 шт.","Ай Си Эн Польфа Жешув АО, Польша","http://www.eapteka.ru/upload/offer_photo/347/85/1.gif"
"Кармолис капли","капли , 20 мл","Др Шмидгалл, Австрия","http://www.eapteka.ru/upload/offer_photo/200/881/resized/230_230_1.jpg"
"Эфокс","таблетки 20 мг, 50 шт.","ЮСБ Фаршим С.А., Бельгия","http://www.eapteka.ru/upload/offer_photo/348/93/1.gif"
"Тардиферон","таблетки, 30 шт.","Пьер Фабр Медикамент, Франция","http://www.eapteka.ru/upload/offer_photo/104/866/1.jpg"
"Полисорб МП","пакетики 3 г, 10 шт.","Полисорб МП, Россия","http://www.eapteka.ru/upload/offer_photo/216/317/1.jpg"
"Стопартроз","пакетики 3,6 г, 20 шт.","Ромфарм, Румыния","http://www.eapteka.ru/upload/offer_photo/210/365/1.jpg"
"Коэнзим композитум","ампулы 2,2 мл, 100 шт.","Хеель, Германия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Глицин","капсулы, 36 шт.","ВИС, Россия","http://www.eapteka.ru/upload/offer_photo/223/113/resized/230_230_1.jpg"
"Теванат","таблетки 70 мг, 4 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/208/883/resized/230_230_1.jpg"
"Диет формула Цитримакс плюс","таблетки, 90 шт.","Фарма-Мед, Канада","http://www.eapteka.ru/upload/offer_photo/200/342/1.jpg"
"Торвакард","таблетки 10 мг, 30 шт.","Зентива, Чехия","http://www.eapteka.ru/upload/offer_photo/208/143/resized/230_230_1.jpg"
"Реасанз","флаконы 3,5 мг/3,5 мл, 1 шт.","Новартис, Швейцария","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Лозарел","таблетки 50 мг, 30 шт.","Сандоз, Швейцария","http://www.eapteka.ru/upload/offer_photo/215/409/resized/230_230_1.jpg"
"Полисорб МП","пакетики 3 г, 1 шт.","Полисорб МП, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Эффералган суппозитории ректальные 80 мг 12 шт.","упак.","Санофи-Авентис, Франция","http://www.eapteka.ru/upload/offer_photo/264/983/resized/230_230_1.jpg"
"ДжиЭнСи (GNC) Ультра Мега для женщин без железа и йода (Women`s Ultra Mega without Iron and Iodine) таблетки 120 шт.","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/252/002/1.jpg"
"Розулип","таблетки покрыт.плен.об. 5 мг 28 шт.","Эгис, Венгрия","http://www.eapteka.ru/upload/offer_photo/215/038/resized/230_230_1.jpg"
"Бетаксолол","таблетки 20 мг 30 шт.","Московский эндокринный завод, Россия","http://www.eapteka.ru/upload/offer_photo/240/953/resized/230_230_1.jpg"
"Нимотоп р-р для инфузий 10 мг  50 мл флакон","1 шт.","Байер, Германия","http://www.eapteka.ru/upload/offer_photo/227/30/1.jpg"
"Фламакс","капсулы 50 мг 25шт","Сотекс, Россия","http://www.eapteka.ru/upload/offer_photo/241/941/resized/230_230_1.jpg"
"Урсолив","капсулы 250 мг, 100 шт.","Авва Рус, Россия","http://www.eapteka.ru/upload/offer_photo/213/478/resized/230_230_1.jpg"
"Рисперидон","таблетки 2 мг, 20 шт.","Озон, Россия","http://www.eapteka.ru/upload/offer_photo/225/739/resized/230_230_1.jpg"
"ДжиЭнСи (GNC) Ликопин 60 кап.","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/251/943/1.jpg"
"Латикорт","мазь 0.1% , 15 г","Ельфа Фармзавод, Польша","http://www.eapteka.ru/upload/offer_photo/204/293/resized/230_230_1.jpg"
"Девирс","крем 7,5% , 15 г","Вертекс, Россия","http://www.eapteka.ru/upload/offer_photo/213/920/1.jpg"
"Такролимус-Тева","капсулы 5 мг, 50 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/215/737/resized/230_230_1.jpg"
"Токоферола ацетат (витамин Е)","капсулы 0.1 г, 30 шт.","Марбиофарм, Россия","http://www.eapteka.ru/upload/offer_photo/219/010/1.jpg"
"Динолак эмульсия для приема внутрь 200 мл","упак.","Авва Рус, Россия","http://www.eapteka.ru/upload/offer_photo/250/772/resized/230_230_1.jpg"
"Флагил","свечи вагинальные 500 мг, 10 шт.","Санофи-Авентис, Франция","http://www.eapteka.ru/upload/offer_photo/103/312/resized/230_230_1.jpg"
"Флуконазол капсулы 150 мг 4 шт.","упак.","Озон, Россия","http://www.eapteka.ru/upload/offer_photo/246/107/1.jpg"
"Бревиблок","ампулы 10 мг/мл, 10 мл, 5 шт.","Бакстер, США","http://www.eapteka.ru/upload/offer_photo/208/716/resized/230_230_1.jpg"
"Клензит","гель 0,1%, 15 г","Гленмарк, Индия","http://www.eapteka.ru/upload/offer_photo/214/235/resized/230_230_1.jpg"
"Драже Вечернее","драже, 60 шт.","Биокор, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Ко-тримоксазол таблетки, 480 мг 10 шт.","упак.","Фармстандарт, Россия","http://www.eapteka.ru/upload/offer_photo/260/306/resized/230_230_1.jpg"
"ДжиЭнСи (GNC) Папайя энзимы (Papaya Enzyme) таблетки 90 шт.","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/251/961/resized/230_230_1.jpg"
"Микофлюкан","таблетки 150 мг, 1 шт.","Д-р Редди`с, Индия","http://www.eapteka.ru/upload/offer_photo/207/178/1.jpg"
"Бисопролол","таблетки 5 мг, 30 шт.","Озон, Россия","http://www.eapteka.ru/upload/offer_photo/226/828/resized/230_230_1.jpg"
"Симвагексал","таблетки покрыт.плен.об. 10 мг, 30 шт.","Салютас Фарма ГмбХ, Германия","http://www.eapteka.ru/upload/offer_photo/207/676/resized/230_230_1.jpg"
"Компливит-Актив","таблетки жевательные для детей вишневые, 30 шт.","Фармстандарт-Уфавита, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Максиган","таблетки, 100 шт.","Юникем Лабораториз Лтд, Индия","http://www.eapteka.ru/upload/offer_photo/297/62/resized/230_230_1.jpg"
"Симвастатин таблетки 20 мг 30 шт.","упак.","Вертекс, Россия","http://www.eapteka.ru/upload/offer_photo/250/753/resized/230_230_1.jpg"
"Дротаверин-Тева таблетки 40 мг 20 шт.","упак.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/250/496/resized/230_230_1.jpg"
"Викс Актив Бальзам ментол-эвкалипт 25 г","1 упак.","Проктер энд Гэмбл, США","http://www.eapteka.ru/upload/offer_photo/245/469/resized/230_230_1.jpg"
"Овитрель","флакон, 250 мкг","Мерк Сероно, Швейцария","http://www.eapteka.ru/upload/offer_photo/212/379/resized/230_230_1.jpg"
"Эвкалипт лист","пачка, 50 г","Здоровье, Россия","http://www.eapteka.ru/upload/offer_photo/125/942/resized/230_230_1.jpg"
"Джосет","флакон, 100 мл","Юник Фармасьютикал, Индия","http://www.eapteka.ru/upload/offer_photo/212/377/resized/230_230_1.jpg"
"Иберогаст","капли для приема внутрь, 20 мл","Байер, Германия","http://www.eapteka.ru/upload/offer_photo/216/228/resized/230_230_1.jpg"
"Аугментин","суспензия 156 мг/5 мл , флаконы 100 мл","ГлаксоСмитКляйн, Великобритания","http://www.eapteka.ru/upload/offer_photo/214/00/resized/230_230_1.jpg"
"Фазлодекс","шприц, 250 мг/5 мл","АстраЗенека, Великобритания","http://www.eapteka.ru/upload/offer_photo/212/536/resized/230_230_1.jpg"
"Леволет Р р-р для инфузий 5мг/мл 100 мл","упак.","Д-р Редди`с, Индия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Дикло-Ф","глазные капли 0.1% , 5 мл","Сентисс Фарма, Индия","http://www.eapteka.ru/upload/offer_photo/124/476/resized/230_230_1.jpg"
"Спазмалин","таблетки, 20 шт.","Торрент, Индия","http://www.eapteka.ru/upload/offer_photo/209/688/resized/230_230_1.jpg"
"Диазолин","драже 50 мг, 10 шт.","Авва Рус, Россия","http://www.eapteka.ru/upload/offer_photo/230/990/resized/230_230_1.jpg"
"Доппельгерц Актив Кардио Боярышник Калий+Магний","капсулы 60 шт.","Квайссер Фарма, Германия","http://www.eapteka.ru/upload/offer_photo/240/854/1.jpg"
"Нипертен Комби таблетки 10 мг + 10 мг 30 шт.","упак.","КРКА, Словения","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Сумамед форте","пор.д/сус.д/пр.внут мал. 200мг/5 мл 35,573г/37,5мл","Тева, Израиль","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Эстрокад","свечи вагинальные 0,5 мг, 10 шт.","Ферринг, Германия","http://www.eapteka.ru/upload/offer_photo/211/411/resized/230_230_1.jpg"
"Рутацид","таблетки жевательные 500 мг, 20 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/205/516/resized/230_230_1.jpg"
"Энап","таблетки 20 мг, 60 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/238/310/resized/230_230_1.jpg"
"Глимепирид","таблетки 4 мг, 30 шт.","Вертекс, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Глево","таблетки 500 мг, 10 шт.","Гленмарк, Индия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Артро-Актив","бальзам согревающий, 20 г","Диод, Россия","http://www.eapteka.ru/upload/offer_photo/210/702/resized/230_230_1.jpg"
"Доппельгерц Актив ОфтальмоДиабетоВит","капсулы, 30 шт.","Квайссер Фарма, Германия","http://www.eapteka.ru/upload/offer_photo/227/027/resized/230_230_1.jpg"
"Энанорм","таблетки 20+10 мг, 30 шт.","Феррер Интернасьональ С.А, Италия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Метадоксил","ампулы 300 мг , 5 мл , 10 шт.","Лаборатория Балдачи СПА, Италия","http://www.eapteka.ru/upload/offer_photo/124/987/1.jpg"
"Пангрол 10000","капсулы, 20 шт.","Берлин-Хеми/Менарини, Германия","http://www.eapteka.ru/upload/offer_photo/223/98/resized/230_230_1.jpg"
"Лютеин-интенсив","таблетки, 20 шт.","Эвалар, Россия","http://www.eapteka.ru/upload/offer_photo/210/431/1.jpg"
"Компливит Кальций Д3 форте","таблетки жевательные мятные, 30 шт.","Фармстандарт-Уфавита, Россия","http://www.eapteka.ru/upload/offer_photo/213/433/resized/230_230_1.jpg"
"Тыквы семена","пачка, 50 г","Здоровье, Россия","http://www.eapteka.ru/upload/offer_photo/218/835/resized/230_230_1.jpg"
"Шиповник плоды","пачка, 100 г","Здоровье, Россия","http://www.eapteka.ru/upload/offer_photo/234/205/resized/230_230_1.jpg"
"Компливит Офтальмо","таблетки, 30 шт.","Фармстандарт-Уфавита, Россия","http://www.eapteka.ru/upload/offer_photo/210/466/resized/230_230_1.jpg"
"Урисан","пилюли, 100 шт.","Индустри Джаму, Индонезия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Суприма-Лор","таблетки для рассасывания, мед-лимон, 16 шт.","Шрея, Индия","http://www.eapteka.ru/upload/offer_photo/230/934/resized/230_230_1.png"
"Аква Марис","30 саше, морская соль","Ядран, Хорватия","http://www.eapteka.ru/upload/offer_photo/214/239/resized/230_230_1.jpg"
"Методжект","шприц 10 мг/мл, 2,5 мл","Медак, Германия","http://www.eapteka.ru/upload/offer_photo/212/819/resized/230_230_1.jpg"
"Акридерм Гента","мазь, 15 г","Акрихин, Россия","http://www.eapteka.ru/upload/offer_photo/212/823/1.jpg"
"Скипар Эмульсия","белая, 200 мл","Витакапитал, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Сеалекс форте плюс","капсулы 400 мг 4 шт.","ВИС, Россия","http://www.eapteka.ru/upload/offer_photo/258/963/1.jpg"
"Актемра конц. для р-ра для инфузий 20 мг/мл (200 мг/10 мл) 10 мл флакон 1шт.","упак.","Хоффманн ля Рош, Швейцария","http://www.eapteka.ru/upload/offer_photo/241/377/resized/230_230_1.jpg"
"Римекор","таблетки покрыт.плен.об 20 мг 30 шт.","Нижфарм, Россия","http://www.eapteka.ru/upload/offer_photo/209/743/1.jpg"
"Ломфлокс","таблетки 400 мг, 5 шт.","Ипка, Индия","http://www.eapteka.ru/upload/offer_photo/282/27/1.gif"
"Менорил","капсулы, 30 шт.","КоролевФарм, Россия","http://www.eapteka.ru/upload/offer_photo/227/719/resized/230_230_1.jpg"
"Фозикард","таблетки 5 мг, 28 шт.","Актавис, Швейцария","http://www.eapteka.ru/upload/offer_photo/210/424/resized/230_230_1.jpg"
"Нистатин","таблетки 500000 ЕД 100 шт","Белмедпрепараты, Белоруссия","http://www.eapteka.ru/upload/offer_photo/247/189/1.jpg"
"Тимоген","крем 0,05%, 30 г","Цитомед, Россия","http://www.eapteka.ru/upload/offer_photo/210/622/1.jpg"
"Пенестер","таблетки 5 мг, 90 шт.","Зентива, Чехия","http://www.eapteka.ru/upload/offer_photo/218/603/resized/230_230_1.jpg"
"Нэйчес Баунти Омега-3","капсулы 980 мг, 30 шт.","Нэйчес Баунти, США","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Аскорбинка Форте","черника, таблетки, 10 шт.","Фарминдустрия, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Эманера","капсулы 40 мг, 14 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/221/638/resized/230_230_1.jpg"
"Гевискон Двойное действие","таблетки мятные, 16 шт.","Рекитт Бенкизер, Великобритания","http://www.eapteka.ru/upload/offer_photo/223/569/resized/230_230_1.jpg"
"Аджисепт","таблетки ментолом и эвкалиптом, 24 шт.","Аджио Фармацевтикалз Лтд, Индия","http://www.eapteka.ru/upload/offer_photo/222/017/resized/230_230_1.jpg"
"Эдюрант","таблетки 25 мг, 30 шт.","Джонсон и Джонсон, Ирландия","http://www.eapteka.ru/upload/offer_photo/230/691/resized/230_230_1.jpg"
"Равел СР","таблетки 1,5 мг, 60 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/210/483/resized/230_230_1.jpg"
"Шалфея листья","пачка , 50 г","Здоровье, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Гепар фито + фитокомплекс","30шт +5 ф/пак","Гольфстрим, Россия","http://www.eapteka.ru/upload/offer_photo/238/239/resized/230_230_1.jpg"
"Пауэркорт","крем 0,05%, 15 г","Гленмарк, Индия","http://www.eapteka.ru/upload/offer_photo/215/377/resized/230_230_1.jpg"
"Йод-актив","таблетки, 40 шт.","Диод, Россия","http://www.eapteka.ru/upload/offer_photo/203/860/resized/230_230_1.jpg"
"Ньюпро","пластырь трансдермальный 4 мг/ 24 ч, 28 шт.","ЮСБ Фаршим С.А., Бельгия","http://www.eapteka.ru/upload/offer_photo/218/076/1.jpg"
"АКТ-ХИБ","флаконы, 1 доза","Пастер Мерье, Франция","http://www.eapteka.ru/upload/offer_photo/103/215/1.jpg"
"Черника Форте с лютеином","капсулы 45 шт.","Фарм-про, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Гамамелис","свечи ректальные гомеопатические, 10 шт.","Московская фармфабрика, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Новинет","таблетки, 21 шт.","Гедеон Рихтер, Венгрия","http://www.eapteka.ru/upload/offer_photo/117/455/resized/230_230_1.jpg"
"Аскорбиновая кислота","крутка смородина, 10 шт.","Фарминдустрия, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
